experiment,repetition,sampleIndex,raw,filtered
6,2,118,354,354
6,2,119,354,353
6,2,120,353,354
6,2,121,353,354
6,2,122,355,354
6,2,123,355,355
6,2,124,355,355
6,2,125,355,354
6,2,126,353,355
6,2,127,356,355
6,2,128,356,356
6,2,129,356,356
6,2,130,354,354
6,2,131,354,354
6,2,132,354,355
6,2,133,358,357
6,2,134,358,357
6,2,135,355,356
6,2,136,355,355
6,2,137,355,355
6,2,138,355,357
6,2,139,359,357
6,2,140,359,357
6,2,141,354,356
6,2,142,354,354
6,2,143,355,355
6,2,144,355,356
6,2,145,359,355
6,2,146,353,355
6,2,147,353,355
6,2,148,357,355
6,2,149,357,359
6,2,150,361,360
6,2,151,361,358
6,2,152,355,358
6,2,153,355,356
6,2,154,359,357
6,2,155,359,360
6,2,156,361,360
6,2,157,361,359
6,2,158,355,357
6,2,159,355,355
6,2,160,357,356
6,2,161,357,361
6,2,162,365,361
6,2,163,365,361
6,2,164,354,361
6,2,165,362,360
6,2,166,362,362
6,2,167,364,364
6,2,168,364,360
6,2,169,355,359
6,2,170,355,359
6,2,171,365,361
6,2,172,365,363
6,2,173,360,363
6,2,174,360,360
6,2,175,360,360
6,2,176,360,362
6,2,177,364,362
6,2,178,364,362
6,2,179,360,362
6,2,180,360,362
6,2,181,365,363
6,2,182,365,364
6,2,183,364,363
6,2,184,361,362
6,2,185,361,365
6,2,186,369,366
6,2,187,369,365
6,2,188,359,363
6,2,189,359,362
6,2,190,367,364
6,2,191,367,369
6,2,192,370,369
6,2,193,370,365
6,2,194,359,364
6,2,195,359,364
6,2,196,371,366
6,2,197,371,369
6,2,198,366,368
6,2,199,366,366
6,2,200,363,367
6,2,201,372,369
6,2,202,372,370
6,2,203,368,370
6,2,204,368,367
6,2,205,367,367
6,2,206,367,369
6,2,207,373,371
6,2,208,373,371
6,2,209,369,371
6,2,210,369,370
6,2,211,371,370
6,2,212,371,372
6,2,213,373,372
6,2,214,373,372
6,2,215,371,372
6,2,216,371,372
6,2,217,374,373
6,2,218,374,374
6,2,219,374,374
6,2,220,374,374
6,2,221,373,374
6,2,222,374,374
6,2,223,374,374
6,2,224,375,375
6,2,225,375,374
6,2,226,373,374
6,2,227,373,374
6,2,228,376,375
6,2,229,376,376
6,2,230,375,376
6,2,231,375,375
6,2,232,375,375
6,2,233,375,375
6,2,234,376,376
6,2,235,376,375
6,2,236,375,376
6,2,237,375,376
